City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Tazovskiy,RU,67.4667,78.7,35.56,93,100,14.16,light rain
321,Okha,RU,53.5739,142.9478,38.77,72,23,10.74,few clouds
322,Beruwala,LK,6.4788,79.9828,80.98,80,100,11.39,overcast clouds
323,Utrecht,NL,52.0,5.25,52.07,91,100,5.01,overcast clouds
324,Tombouctou,ML,20.0,-3.0,80.46,19,100,9.64,overcast clouds
325,Arkhangelskoye,RU,55.8549,35.3287,38.97,87,100,7.09,overcast clouds
326,Mackay,AU,-21.15,149.2,74.68,85,52,10.98,broken clouds
327,Moron De La Frontera,ES,37.1208,-5.454,66.27,77,0,10.36,clear sky
328,Agirish,RU,61.9247,63.0231,35.65,73,100,10.0,overcast clouds
329,Tambo Grande,PE,-4.9269,-80.3447,66.04,69,100,3.15,overcast clouds
330,Aksum,ET,14.1245,38.7244,69.94,37,3,6.78,clear sky
331,Paita,PE,-5.0892,-81.1144,61.48,83,100,11.14,overcast clouds
332,Orlik,RU,52.5178,99.825,32.27,37,42,6.76,scattered clouds
333,Mount Isa,AU,-20.7333,139.5,92.97,20,0,12.66,clear sky
334,Maraba,BR,-5.3686,-49.1178,80.78,83,0,3.44,clear sky
335,Altamirano,MX,16.8833,-92.15,56.19,100,100,1.79,moderate rain
336,Banes,CU,20.9625,-75.7186,75.78,86,94,1.5,overcast clouds
337,Honningsvag,NO,70.9821,25.9704,37.15,75,75,36.82,broken clouds
338,Dengzhou,CN,37.8086,120.7508,66.02,48,95,9.42,overcast clouds
339,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,41,0,29.93,clear sky
340,Varhaug,NO,58.6147,5.6457,46.89,81,100,10.16,overcast clouds
341,Sexsmith,CA,55.35,-118.786,54.75,35,75,13.8,smoke
